Data,Salário mínimo real - R$ (do último mês) - Instituto  de Pesquisa Econômica Aplicada(IPEA) - GAC12_SALMINRE12,
1959.09,1198.51970204864,
1959.10,1172.13719288405,
1959.11,1146.63915243238,
1959.12,1122.46822600985,
1960.01,1082.42165167388,
1960.02,1045.13414434604,
1960.03,1009.35295603864,
1960.04,993.97233956567,
1960.05,979.053430153803,
1960.06,964.397483407831,
1960.07,952.602187426026,
1960.08,941.091935567136,
1960.09,929.690857423797,
1960.10,1453.32770275921,
1960.11,1420.68532454511,
1960.12,1389.47705980224,
1961.01,1336.32644883989,
1961.02,1287.29072654204,
1961.03,1241.54165834225,
1961.04,1213.92376451754,
1961.05,1187.67676420365,
1961.06,1162.37890190055,
1961.07,1143.90569288281,
1961.08,1125.85863704849,
1961.09,1108.37218270963,
1961.10,1489.81834224985,
1961.11,1432.48954819759,
1961.12,1379.40933600334,
1962.01,1291.32950875964,
1962.02,1213.82291934499,
1962.03,1145.09352598867,
1962.04,1107.97295860591,
1962.05,1073.18350287296,
1962.06,1040.51225861601,
1962.07,1014.06391197122,
1962.08,988.92679469478,
1962.09,965.085428772482,
1962.10,936.402684714596,
1962.11,928.960876841159,
1962.12,883.93184462283,
1963.01,1282.42113042545,
1963.02,1196.87036300912,
1963.03,1121.95108664655,
1963.04,1085.15487728116,
1963.05,1050.69560717478,
1963.06,1018.35749871866,
1963.07,983.534827114659,
1963.08,951.014930461818,
1963.09,920.576700580606,
1963.10,885.324369341698,
1963.11,852.712159275374,
1963.12,822.30614288052,
1964.01,761.263827088997,
1964.02,1425.1680964082,
1964.03,1337.10909912656,
1964.04,1294.37239924306,
1964.05,1253.16420731547,
1964.06,1215.71150128261,
1964.07,1170.0721829347,
1964.08,1127.73558948592,
1964.09,1087.41615500829,
1964.10,1037.62309621175,
1964.11,992.163497271328,
1964.12,950.000870693571,
1965.01,883.71799876711,
1965.02,826.08117503875,
1965.03,1219.00874110551,
1965.04,1168.74827157058,
1965.05,1122.46822600985,
1965.06,1079.79500771101,
1965.07,1042.26863147615,
1965.08,1007.26297834487,
1965.09,973.705770964811,
1965.10,943.520539957223,
1965.11,915.135952330291,
1965.12,889.166203663701,
1966.01,848.437723334479,
1966.02,811.28844460974,
1966.03,989.609977217121,
1966.04,952.465574463538,
1966.05,918.008682341192,
1966.06,884.949027412958,
1966.07,857.506331890521,
1966.08,831.714465762096,
1966.09,808.304293485244,
1966.10,788.585936963146,
1966.11,769.814829593441,
1966.12,751.60715381608,
1967.01,730.569669580768,
1967.02,716.947663965424,
1967.03,871.385579175536,
1967.04,851.083026072657,
1967.05,830.192806341783,
1967.06,813.189747975032,
1967.07,802.471078186258,
1967.08,792.031298331276,
1967.09,782.529637511535,
1967.10,772.599058355297,
1967.11,763.555256668864,
1967.12,755.344985091779,
1968.01,734.683899417507,
1968.02,721.336561592386,
1968.03,871.07004101041,
1968.04,851.332804431625,
1968.05,837.418003764837,
1968.06,822.147799465697,
1968.07,804.542921532813,
1968.08,792.66148598275,
1968.09,781.125871841629,
1968.10,769.39565397097,
1968.11,758.012530643894,
1968.12,746.961320786926,
1969.01,728.61320818841,
1969.02,720.232992375381,
1969.03,711.144878906922,
1969.04,702.283260478175,
1969.05,829.830118352991,
1969.06,806.642237519109,
1969.07,794.363140226663,
1969.08,784.715004920266,
1969.09,771.331576752212,
1969.10,759.670909018556,
1969.11,747.53291653286,
1969.12,737.376219297359,
1970.01,720.537569573628,
1970.02,711.842730066706,
1970.03,696.49499153344,
1970.04,689.41679039997,
1970.05,814.878224328614,
1970.06,801.63795775902,
1970.07,786.534633917184,
1970.08,767.260458156725,
1970.09,753.41355493224,
1970.10,744.116404117263,
1970.11,735.045910703644,
1970.12,728.468318661553,
1971.01,714.403989560584,
1971.02,705.427509622431,
1971.03,694.593298723793,
1971.04,685.8157928427,
1971.05,813.81227635945,
1971.06,795.339034577477,
1971.07,781.091320980348,
1971.08,771.569562840202,
1971.09,761.981125554421,
1971.10,751.762987855416,
1971.11,740.695129597068,
1971.12,732.400671258916,
1972.01,715.312212286779,
1972.02,702.004078104699,
1972.03,689.909071133135,
1972.04,683.182938127658,
1972.05,807.817188202646,
1972.06,800.076297966618,
1972.07,790.339061074529,
1972.08,782.142168838561,
1972.09,765.495397072187,
1972.10,756.08762699174,
1972.11,748.582434408728,
1972.12,742.873512125344,
1973.01,732.859856632746,
1973.02,728.975036688013,
1973.03,723.112571190368,
1973.04,715.149263584723,
1973.05,821.290704302141,
1973.06,808.8061064126,
1973.07,795.994276038214,
1973.08,782.452274225569,
1973.09,770.236868298119,
1973.10,766.971307805052,
1973.11,762.874469219644,
1973.12,757.550108044185,
1974.01,747.738905211979,
1974.02,746.915630887496,
1974.03,721.495476472819,
1974.04,679.915932601922,
1974.05,797.936889103488,
1974.06,786.258830025917,
1974.07,770.182562525975,
1974.08,754.750530526952,
1974.09,743.112653865765,
1974.10,727.603641995565,
1974.11,711.645342790016,
1974.12,767.0139145374,
1975.01,744.096746268716,
1975.02,727.751211133027,
1975.03,716.488394770254,
1975.04,701.048633205607,
1975.05,888.741666101874,
1975.06,867.284118857415,
1975.07,847.767846149867,
1975.08,815.827297016755,
1975.09,800.051631052343,
1975.10,782.753217407968,
1975.11,766.18701174854,
1975.12,753.23456551612,
1976.01,728.715056935866,
1976.02,695.467364108536,
1976.03,676.97575559608,
1976.04,656.731724355892,
1976.05,907.66328602817,
1976.06,889.176533796766,
1976.07,866.116976385024,
1976.08,844.329935770611,
1976.09,820.677493780723,
1976.10,797.646778347421,
1976.11,772.285133758967,
1976.12,755.855394577493,
1977.01,725.716440882367,
1977.02,700.450306405338,
1977.03,678.603486932979,
1977.04,653.954779898307,
1977.05,904.809235480514,
1977.06,885.981605684124,
1977.07,864.335418964814,
1977.08,850.357566219094,
1977.09,837.042990547605,
1977.10,814.926000959965,
1977.11,787.643956727124,
1977.12,769.319333173591,
1978.01,741.744100773551,
1978.02,718.751584951843,
1978.03,696.233718206734,
1978.04,678.798407120152,
1978.05,933.387619363746,
1978.06,902.769474687032,
1978.07,855.575888199736,
1978.08,830.388789709983,
1978.09,813.461384679622,
1978.10,791.259254392687,
1978.11,774.192435667413,
1978.12,758.609026282997,
1979.01,716.80697564832,
1979.02,696.852718801819,
1979.03,673.603536643402,
1979.04,651.1380197424,
1979.05,930.286722796214,
1979.06,903.19278549622,
1979.07,857.256915077763,
1979.08,810.380646609718,
1979.09,760.15132685201,
1979.10,723.513887932446,
1979.11,881.76131922397,
1979.12,843.740379642626,
1980.01,791.785876166931,
1980.02,760.247414095474,
1980.03,723.196164787438,
1980.04,689.74344186481,
1980.05,924.746999052709,
1980.06,876.343325156073,
1980.07,830.546637692907,
1980.08,789.89156460347,
1980.09,756.216705121056,
1980.10,689.695274843279,
1980.11,890.65625059456,
1980.12,833.933510805159,
1981.01,785.177858626623,
1981.02,740.36226592669,
1981.03,702.741526539064,
1981.04,659.607066611852,
1981.05,914.129741065677,
1981.06,870.007412604132,
1981.07,819.200742031655,
1981.08,771.925318975702,
1981.09,733.2426905183,
1981.10,700.85218473273,
1981.11,938.48964464022,
1981.12,887.985695756453,
1982.01,832.120306798945,
1982.02,780.780380840807,
1982.03,741.913701467308,
1982.04,702.250667088851,
1982.05,916.689733658136,
1982.06,855.578522966073,
1982.07,804.177090891367,
1982.08,761.76789047434,
1982.09,730.332694748589,
1982.10,702.879512436125,
1982.11,947.595383473329,
1982.12,875.900704806088,
1983.01,802.514061295728,
1983.02,742.792358234456,
1983.03,692.769193375849,
1983.04,650.088284556792,
1983.05,898.933388887994,
1983.06,811.068498336568,
1983.07,727.881859145807,
1983.08,662.632884088393,
1983.09,595.504174273368,
1983.10,540.8927281188,
1983.11,827.419989138058,
1983.12,763.697728901831,
1984.01,698.135707707466,
1984.02,636.190873956053,
1984.03,579.234448397056,
1984.04,528.862875259618,
1984.05,827.661707849795,
1984.06,752.681902491396,
1984.07,689.851360088294,
1984.08,635.39554801517,
1984.09,571.903017470517,
1984.10,517.599944799305,
1984.11,804.1374997507,
1984.12,720.412573953197,
1985.01,644.162427319244,
1985.02,580.596529929294,
1985.03,528.081119867632,
1985.04,486.334099667722,
1985.05,907.315481545088,
1985.06,837.512822878991,
1985.07,760.847715794062,
1985.08,681.686029140435,
1985.09,619.221690428475,
1985.10,561.650907702758,
1985.11,885.961746910117,
1985.12,765.407252515426,
1986.01,665.514772358456,
1986.02,591.72891282945,
1986.03,768.526624479365,
1986.04,765.236097156026,
1986.05,757.094501577942,
1986.06,749.855231143871,
1986.07,743.112178847415,
1986.08,732.6278495279,
1986.09,724.000566841456,
1986.10,713.779704260653,
1986.11,691.058915165098,
1986.12,644.250663862807,
1987.01,661.80979630327,
1987.02,580.823743916402,
1987.03,719.90878333473,
1987.04,595.167401780566,
1987.05,579.992885802309,
1987.06,573.77198519849,
1987.07,521.940545955976,
1987.08,496.684878759044,
1987.09,564.717728147567,
1987.10,560.234485970984,
1987.11,553.929304229326,
1987.12,583.23823896618,
1988.01,612.80397350656,
1988.02,620.860912970637,
1988.03,621.340684731511,
1988.04,610.925024051206,
1988.05,620.020305719593,
1988.06,603.429930903199,
1988.07,588.73100469964,
1988.08,609.940189156205,
1988.09,585.835429606632,
1988.10,578.02125632737,
1988.11,586.175390510551,
1988.12,599.046017608438,
1989.01,594.739033955272,
1989.02,600.716367382835,
1989.03,567.248706622643,
1989.04,524.938702139721,
1989.05,573.156251328543,
1989.06,652.973648557849,
1989.07,639.818405170824,
1989.08,618.576000118849,
1989.09,586.795131876754,
1989.10,647.057292369901,
1989.11,636.297445525133,
1989.12,594.828365060979,
1990.01,576.121659763535,
1990.02,516.915665064821,
1990.03,520.100587773194,
1990.04,453.56290873873,
1990.05,422.666023461669,
1990.06,397.526853937826,
1990.07,448.78000890598,
1990.08,424.416760413022,
1990.09,432.328815011981,
1990.10,400.819444771541,
1990.11,444.425448004781,
1990.12,395.74532364978,
1991.01,456.375140602061,
1991.02,489.65277361536,
1991.03,468.448540953672,
1991.04,446.104868603189,
1991.05,418.171245061167,
1991.06,377.3032851412,
1991.07,336.451550626802,
1991.08,291.003198821997,
1991.09,621.810500061946,
1991.10,513.560295327778,
1991.11,406.043343832969,
1991.12,327.058699641413,
1992.01,593.908212747114,
1992.02,477.109668229069,
1992.03,392.296651061769,
1992.04,324.640713776255,
1992.05,624.484450011615,
1992.06,516.743416369373,
1992.07,423.282726306659,
1992.08,345.875666331703,
1992.09,633.383071927177,
1992.10,502.406241665047,
1992.11,408.825871527122,
1992.12,325.550342599549,
1993.01,605.523120735377,
1993.02,485.233583211552,
1993.03,519.827112800428,
1993.04,404.9443097942,
1993.05,617.232619314867,
1993.06,473.446759044281,
1993.07,507.595764112176,
1993.08,454.043432836506,
1993.09,581.092210219886,
1993.10,542.322850413673,
1993.11,498.160021122137,
1993.12,451.725181349004,
1994.01,560.26831592706,
1994.02,519.147577491256,
1994.03,426.113412124756,
1994.04,424.193154390023,
1994.05,427.471157829355,
1994.06,336.423672205821,
1994.07,376.830011774619,
1994.08,369.983643739725,
1994.09,394.216306678521,
1994.10,383.404543188777,
1994.11,372.380966495737,
1994.12,366.154840088602,
1995.01,360.957821748041,
1995.02,357.347182584456,
1995.03,351.64912575342,
1995.04,343.104955073875,
1995.05,480.067585641172,
1995.06,469.825216624927,
1995.07,458.545538162803,
1995.08,453.914311728603,
1995.09,448.66421119296,
1995.10,442.469839913218,
1995.11,435.889443900227,
1995.12,428.814342261407,
1996.01,422.644279075609,
1996.02,419.666240568685,
1996.03,418.452917586346,
1996.04,414.595926539098,
1996.05,458.479855847088,
1996.06,452.463159158438,
1996.07,447.099017608897,
1996.08,444.875875144782,
1996.09,444.787277984304,
1996.10,443.104099462859,
1996.11,441.601710678559,
